id,name,wbs,activity_type,calendar,original_duration_h,original_duration_days_display,remaining_duration_h,duration_type,percent_complete_type,status,actual_start,actual_finish,suspend_date,resume_date,duration_percent_complete,physical_percent_complete,units_percent_complete,primary_constraint_type,primary_constraint_date,secondary_constraint_type,secondary_constraint_date,expected_finish,external_early_start,external_late_finish,activity_codes,udfs,test_tags,note
A2300,Structural Steel Batch 1 Delivered,TT.2,TASK_DEPENDENT,CAL-01,40,5,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-02-09T08:00:00,2026-02-13T17:00:00,,,100,0,0,,,,,,,,DISC=STL;PHASE=PROC;CONTR=VENDOR,,prog_complete,
A2310,Structural Steel Batch 2 Delivered,TT.2,TASK_DEPENDENT,CAL-01,40,5,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;PHASE=PROC;CONTR=VENDOR,,,
A2320,Pipe Spools Batch 1 Delivered,TT.2,TASK_DEPENDENT,CAL-01,80,10,80,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=PIP;PHASE=PROC;CONTR=VENDOR,,,
A2330,Pipe Spools Batch 2 Delivered,TT.2,TASK_DEPENDENT,CAL-01,80,10,80,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=PIP;PHASE=PROC;CONTR=VENDOR,,,
A3000,Mobilise to Site,TT.3,TASK_DEPENDENT,CAL-01,40,5,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-05T08:00:00,2026-01-09T17:00:00,,,100,0,0,,,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD,,prog_complete,
A3010,Site Establishment & Welfare,TT.3,TASK_DEPENDENT,CAL-02,100,10,0,FIXED_DURATION_AND_UNITS,DURATION,COMPLETED,2026-01-19T07:00:00,2026-01-31T17:30:00,,,100,0,0,,,,,,,,DISC=PM;CWA=SITE;PHASE=CONST;CONTR=WOOD,,prog_complete;dt_fixed_dur_units;cost_expense,
A3020,Site Hoarding & Security,TT.3,TASK_DEPENDENT,CAL-02,60,6,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-12T07:00:00,2026-01-19T17:30:00,,,100,0,0,,,,,,,,DISC=CIV;CWA=SITE;PHASE=CONST;CONTR=SUB-CIV,,prog_complete,
A3030,Temporary Power Installation,TT.3,TASK_DEPENDENT,CAL-02,80,8,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-02-02T07:00:00,2026-02-11T17:30:00,,,100,0,0,,,,,,,,DISC=ELE;CWA=SITE;PHASE=CONST;CONTR=SUB-EI,,prog_complete,
A3040,Access Roads & Laydown (Temporary),TT.3,TASK_DEPENDENT,CAL-02,120,12,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-01-26T07:00:00,,,,100,0,0,,,,,,,,DISC=CIV;CWA=SITE;PHASE=CONST;CONTR=SUB-CIV,,prog_stopped_zero_remaining,"STOPPED ACTIVITY: Remaining Duration = 0, Duration % = 100, but NO Actual Finish. P6 sets the Remaining Early Finish to the Data Date. Naive engines produce a null/instant finish or crash."
A3100,Scaffolding - Erect / Maintain / Dismantle,TT.3,LEVEL_OF_EFFORT,CAL-02,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=SITE;PHASE=CONST;CONTR=SUB-CIV,,type_loe,
A3800,Temporary Power Supply - Final Period of Operation,TT.3,TASK_DEPENDENT,CAL-03,240,10,240,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=ELE;CWA=SITE;PHASE=CONST;CONTR=SUB-EI,,rel_sf;lag_zero;sf_only_predecessor,"Its ONLY predecessor is an SF (A8700 Energise Permanent Power). Temp power cannot FINISH until permanent power STARTS. Forward pass must set EF from the predecessor's ES, then back-calculate ES = EF - RD."
A3900,Temporary Facilities Removal & Site Clean,TT.3,TASK_DEPENDENT,CAL-02,100,10,100,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,FINISH_ON_OR_AFTER,2026-11-30T17:30:00,,,,,,DISC=PM;CWA=SITE;PHASE=HANDOVER;CONTR=WOOD,,con_fnet;net_open_finish,FNET pushes the activity LATER (a rare forward-pass-delaying constraint). Also has NO SUCCESSOR (open end).
A4100,Site Clearance & Earthworks,TT.4,TASK_DEPENDENT,CAL-02,150,15,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-01-26T07:00:00,2026-02-13T17:30:00,,,100,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1001;PHASE=CONST;CONTR=SUB-CIV,WEATHER_SENS=True;PERMIT_TYPE=EXCAVATION;COST_CODE=C-1100,prog_complete,
A4110,Ground Improvement / Piling Mat,TT.4,TASK_DEPENDENT,CAL-02,80,8,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,COMPLETED,2026-02-02T07:00:00,2026-02-13T17:30:00,,,100,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1001;PHASE=CONST;CONTR=SUB-CIV,,prog_complete,
A4200,Piling - Zone A,TT.4.1,TASK_DEPENDENT,CAL-02,200,20,120,FIXED_DURATION_AND_UNITS_TIME,PHYSICAL,IN_PROGRESS,2026-02-16T07:00:00,,,,40,35,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1001;PHASE=CONST;CONTR=SUB-CIV,WEATHER_SENS=True;EV_METHOD=PHYSICAL_STEPS;COST_CODE=C-1110,prog_in_progress;pct_physical;code_steps;prog_rd_vs_pct_divergence,"OD 200h, RD 120h -> Duration%% = (200-120)/200 = 40%%. Actual Duration (elapsed to DD on CAL-02) = 120h, so At-Completion Duration = 240h (40h over). Physical %% (35, from weighted STEPS) deliberately != Duration %% (40). Tests that EV uses the nominated %% type, not whichever is convenient."
A4210,Piling - Zone B,TT.4.1,TASK_DEPENDENT,CAL-02,180,18,150,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-02-23T07:00:00,,2026-02-27T17:30:00,,17,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1002;PHASE=CONST;CONTR=SUB-CIV,,prog_suspended_no_resume,"SUSPENDED and NOT resumed at the data date. Remaining work must be scheduled from the Data Date (or later), and the suspended window must be excluded from Actual Duration."
A4220,Pile Integrity Testing,TT.4.1,TASK_DEPENDENT,CAL-01,40,5,24,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-02-25T08:00:00,,,,40,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1001;PHASE=CONST;CONTR=SUB-CIV,,prog_out_of_sequence;retained_logic_vs_progress_override,"OUT OF SEQUENCE: has an FS predecessor (A4200) that is only 40%% complete, yet this activity has already started. RETAINED LOGIC: remaining work waits for A4200's remaining finish. PROGRESS OVERRIDE: remaining work starts at the Data Date, ignoring the incomplete predecessor. ACTUAL DATES: as Retained Logic but actuals are never moved. THREE DIFFERENT ANSWERS - this is the single highest-value activity in the fixture."
A4230,Pile Cropping,TT.4.1,TASK_DEPENDENT,CAL-02,120,12,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,IN_PROGRESS,2026-02-17T07:00:00,,2026-02-19T17:30:00,2026-03-09T07:00:00,50,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1001;PHASE=CONST;CONTR=SUB-CIV,,prog_suspend_resume;prog_resume_after_data_date,"Suspend BEFORE the data date, Resume AFTER it. Remaining work must not be scheduled before 2026-03-09 even though the Data Date is 2026-03-02. Confirm your engine's rule (and P6's) - behaviour here is a common divergence point."
A4300,Excavate Foundations - Zone A,TT.4.2,TASK_DEPENDENT,CAL-02,100,10,100,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,START_ON_OR_AFTER,2026-03-16T07:00:00,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;PHASE=CONST;CONTR=SUB-CIV,PERMIT_TYPE=EXCAVATION;SIMOPS_RISK=3,con_snet,
A4310,Blinding Concrete - Zone A,TT.4.2,TASK_DEPENDENT,CAL-02,30,3,30,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;CONTR=SUB-CIV,,,
A4320,Rebar & Formwork - Zone A,TT.4.2,TASK_DEPENDENT,CAL-02,120,12,120,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;CONTR=SUB-CIV,,,
A4330,Pour Foundations - Zone A,TT.4.2,TASK_DEPENDENT,CAL-02,40,4,40,FIXED_UNITS,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;CONTR=SUB-CIV,,dt_fixed_units;res_material,"FIXED UNITS: 850 m3 of concrete is invariant. If duration changes, units/time must flex - units must not."
A4340,Concrete Cure - Zone A,TT.4.2,TASK_DEPENDENT,CAL-03,168,7,168,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;SHIFT=CONTINUOUS,,cal_24h;elapsed_duration,"Cure modelled as an ACTIVITY on the 24-hour calendar: 168h = 7 elapsed days. Compare with A4440, where the same cure is modelled as a LAG instead."
A4350,Strip Formwork - Zone A,TT.4.2,TASK_DEPENDENT,CAL-02,40,4,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;CONTR=SUB-CIV,,,
A4360,Backfill - Zone A,TT.4.2,TASK_DEPENDENT,CAL-02,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1003;CONTR=SUB-CIV,,lag_fs_negative,
A4400,Excavate Foundations - Zone B,TT.4.2,TASK_DEPENDENT,CAL-02,100,10,100,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1004;CONTR=SUB-CIV,,lag_ff_positive,
A4410,Blinding Concrete - Zone B,TT.4.2,TASK_DEPENDENT,CAL-02,30,3,30,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1004;CONTR=SUB-CIV,,,
A4420,Rebar & Formwork - Zone B,TT.4.2,TASK_DEPENDENT,CAL-02,120,12,120,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1004;CONTR=SUB-CIV,,,
A4430,Pour Foundations - Zone B,TT.4.2,TASK_DEPENDENT,CAL-02,40,4,40,FIXED_UNITS,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1004;CONTR=SUB-CIV,,dt_fixed_units;res_material,
A4440,Strip Formwork - Zone B,TT.4.2,TASK_DEPENDENT,CAL-02,40,4,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1004;CONTR=SUB-CIV,,lag_calendar_24h;lag_calendar_setting_sensitive,"Cure modelled as an FS + 168h LAG on the 24-HOUR calendar (not the predecessor's CAL-02). If your engine resolves the lag on CAL-02 (10h/day, no Sundays) it will produce a date roughly two weeks later than the correct 7 elapsed days. This is THE classic P6 lag-calendar bug."
A4450,Backfill - Zone B,TT.4.2,TASK_DEPENDENT,CAL-02,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1004;CONTR=SUB-CIV,,,
A4500,Underground Piping & Drainage,TT.4.3,TASK_DEPENDENT,CAL-02,160,16,160,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1005;CONTR=SUB-CIV,,net_multiple_predecessors,
A4510,Underground Electrical Ducts,TT.4.3,TASK_DEPENDENT,CAL-02,120,12,120,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=ELE;CWA=CWA-100;CWP=CWP-1005;CONTR=SUB-EI,,lag_ss_zero,
A4520,Cathodic Protection Installation,TT.4.3,TASK_DEPENDENT,CAL-02,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=ELE;CWA=CWA-100;CWP=CWP-1005;CONTR=SUB-EI,,lag_ff_zero;net_dangling_start,"DANGLING START: its only predecessor link is an FF, so nothing controls when it STARTS. Its early start collapses to (early finish - duration). DCMA check 2 (leads/lags) and dangle checks should flag it."
A4600,Permanent Hardstanding & Roads,TT.4.3,TASK_DEPENDENT,CAL-02,140,14,140,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;CWP=CWP-1006;CONTR=SUB-CIV,,net_redundant_logic,Has a REDUNDANT predecessor (A4110) already implied transitively via A4200->...->A4450. Free-float and driving-relationship logic must handle it; a redundancy report should flag it.
A4999,Civils Complete,TT.4,FINISH_MILESTONE,CAL-01,0,0,0,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=CIV;CWA=CWA-100;PHASE=CONST,,type_finish_ms;net_merge_point,
A5100,Erect Pipe Rack Steel - Zone A,TT.5,TASK_DEPENDENT,CAL-02,200,20,200,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1007;CONTR=SUB-STL;SHIFT=DAY,WEATHER_SENS=True;PERMIT_TYPE=LIFTING;SIMOPS_RISK=4,lag_exceeds_pred_duration;res_curve_bell,Predecessor A2300 has an OD of 40h but the FS lag is 80h - a lag longer than the predecessor's duration.
A5110,Grout Baseplates - Zone A,TT.5,TASK_DEPENDENT,CAL-02,40,4,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1007;CONTR=SUB-STL,,lag_ss_positive,
A5120,Torque & Plumb Steel - Zone A,TT.5,TASK_DEPENDENT,CAL-02,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1007;CONTR=SUB-STL,,lag_ff_zero,
A5130,Handrails & Grating - Zone A,TT.5,TASK_DEPENDENT,CAL-02,100,10,100,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1007;CONTR=SUB-STL,,,
A5200,Erect Pipe Rack Steel - Zone B,TT.5,TASK_DEPENDENT,CAL-02,220,22,220,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,START_ON_OR_AFTER,2026-05-04T07:00:00,FINISH_ON_OR_BEFORE,2026-06-26T17:30:00,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1008;CONTR=SUB-STL,WEATHER_SENS=True;PERMIT_TYPE=LIFTING,con_snet;con_secondary_fnlt;con_on_nonworkday,"TWO tests in one. (1) SECONDARY CONSTRAINT: primary SNET on the forward pass + secondary FNLT on the backward pass. (2) The SNET date 2026-05-04 is the Early May BANK HOLIDAY - a NON-WORK day on CAL-02. The engine must roll the constrained start forward to the next working period (Tue 05-May 07:00), not sit it on a non-work instant."
A5210,Grout Baseplates - Zone B,TT.5,TASK_DEPENDENT,CAL-02,40,4,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1008;CONTR=SUB-STL,,lag_ss_positive,
A5220,Torque & Plumb Steel - Zone B,TT.5,TASK_DEPENDENT,CAL-02,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1008;CONTR=SUB-STL,,lag_ff_zero,
A5230,Handrails & Grating - Zone B,TT.5,TASK_DEPENDENT,CAL-02,100,10,100,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1008;CONTR=SUB-STL,,,
A5300,Erect Equipment Support Steel,TT.5,TASK_DEPENDENT,CAL-02,120,12,120,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1007;CONTR=SUB-STL,,,
A5400,Steel Inspection & Punchlist,TT.5,TASK_DEPENDENT,CAL-01,40,5,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CONTR=WOOD,,net_merge_point,
A5500,Night Shift Steel Bolt-Up (SIMOPS),TT.5,TASK_DEPENDENT,CAL-04,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=STL;CWA=CWA-200;CWP=CWP-1007;CONTR=SUB-STL;SHIFT=NIGHT,SIMOPS_RISK=5;PERMIT_TYPE=HOT WORK,cal_night_crosses_midnight,"Runs on CAL-04, a 20:00-06:00 shift that CROSSES MIDNIGHT. An activity starting Mon 20:00 with a 60h duration must be scheduled across the Mon 20:00-24:00 / Tue 00:00-06:00 boundary as one continuous shift, and its 'days' display (6d at 10h/day) must not be derived from the calendar day count."
A6000,Heavy Lift Study & Ground Bearing Check,TT.6,TASK_DEPENDENT,CAL-01,40,5,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=MEC;CWA=CWA-300;CONTR=WOOD,,lag_long,
A6100,Set Module PAU-301 (Heavy Lift),TT.6,RESOURCE_DEPENDENT,CAL-06,60,7.5,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=MEC;CWA=CWA-300;CWP=CWP-1009;CONTR=SUB-MECH;SYS=300-01,TAG_NO=PAU-301;PERMIT_TYPE=LIFTING;SIMOPS_RISK=5;WEATHER_SENS=True,type_resource_dependent;res_calendar_drives;cost_expense;lag_long,"RESOURCE DEPENDENT: it must be scheduled on the RESOURCE's calendar (RCAL-CRANE600: on hire 27-Jul to 21-Aug ONLY), NOT on its own activity calendar (CAL-06). If your engine schedules it on CAL-06 you'll get a start in May. Also has an FS + 400h lag from A6000 (a very long lag) and a lump-sum expense."
A6200,Set Absorber Column T-301,TT.6,TASK_DEPENDENT,CAL-06,80,10,80,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,2026-08-14T16:00:00,,,DISC=MEC;CWA=CWA-300;CWP=CWP-1009;CONTR=SUB-MECH;SYS=300-01,TAG_NO=T-301;PERMIT_TYPE=LIFTING;SIMOPS_RISK=5;WEATHER_SENS=True,con_expected_finish;res_overallocation;type_task_vs_resource_contrast,"Deliberate CONTRAST with A6100: same crane resource (NL-CRANE600, max 1 unit), SS+0 to A6100 so they overlap, but this one is TASK DEPENDENT. Two tests: (1) EXPECTED FINISH - with 'Use Expected Finish Dates' ON, the engine recalculates Remaining Duration so the activity finishes on 2026-08-14. (2) RESOURCE OVER-ALLOCATION - one crane, two concurrent activities. Levelling must serialise them."
A6300,Set Amine Pumps P-301A/B,TT.6,TASK_DEPENDENT,CAL-02,60,6,60,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=MEC;CWA=CWA-300;CWP=CWP-1009;CONTR=SUB-MECH;SYS=300-02,TAG_NO=P-301A/B,net_dangling_activity;lag_ss_positive,"FULLY DANGLING: SS predecessor only (A6100), SS successor only (A7300). Nothing controls its finish, and it cannot transmit finish-driven delay downstream. A classic schedule-quality defect - your engine should still schedule it correctly AND flag it."
A6400,Set Heat Exchangers E-301/302,TT.6,TASK_DEPENDENT,CAL-02,80,8,80,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=MEC;CWA=CWA-300;CWP=CWP-1009;CONTR=SUB-MECH;SYS=300-02,TAG_NO=E-301/E-302,,
A6500,Mechanical Alignment & Grouting,TT.6,TASK_DEPENDENT,CAL-02,100,10,100,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=MEC;CWA=CWA-300;CWP=CWP-1009;CONTR=SUB-MECH,,,
A6600,Equipment Punchlist,TT.6,TASK_DEPENDENT,CAL-01,40,5,40,FIXED_DURATION_AND_UNITS_TIME,DURATION,NOT_STARTED,,,,,0,0,0,,,,,,,,DISC=MEC;CWA=CWA-300;CONTR=WOOD,,,
